sample_name	organism	isolate	dev_stage	collection_date	geo_loc_name	sex	tissue	treatment
Sample_P8_fe2_022019	mus musculus	Smoking-exposure experimental group (sample Sample_P8_fe2_022019)	Pup	2019-02-20	United States: Baltimore, MD	female	Brain	Smoking
Sample_P8_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P8_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	male	Brain	Smoking
Sample_P8_fe3_021819	mus musculus	Smoking-exposure experimental group (sample Sample_P8_fe3_021819)	Pup	2019-02-18	United States: Baltimore, MD	female	Brain	Smoking
Sample_p9_c121218	mus musculus	Nicotine-exposure control group (sample Sample_p9_c121218)	Pup	2018-12-12	United States: Baltimore, MD	male	Brain	Nicotine
Sample_P9_fc2_022019	mus musculus	Smoking-exposure control group (sample Sample_P9_fc2_022019)	Pup	2019-02-20	United States: Baltimore, MD	male	Brain	Smoking
Sample_P9_fe1_021919	mus musculus	Smoking-exposure experimental group (sample Sample_P9_fe1_021919)	Pup	2019-02-19	United States: Baltimore, MD	male	Brain	Smoking
Sample_P9_fe3_021719	mus musculus	Smoking-exposure experimental group (sample Sample_P9_fe3_021719)	Pup	2019-02-17	United States: Baltimore, MD	female	Brain	Smoking
Sample_FC1P1_blood	mus musculus	Smoking-exposure control group (sample Sample_FC1P1_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC1P2_blood	mus musculus	Smoking-exposure control group (sample Sample_FC1P2_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC1P3_blood	mus musculus	Smoking-exposure control group (sample Sample_FC1P3_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC2P1_blood	mus musculus	Smoking-exposure control group (sample Sample_FC2P1_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC2P2_blood	mus musculus	Smoking-exposure control group (sample Sample_FC2P2_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC2P3_blood	mus musculus	Smoking-exposure control group (sample Sample_FC2P3_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC2P4_blood	mus musculus	Smoking-exposure control group (sample Sample_FC2P4_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC31_blood	mus musculus	Smoking-exposure control group (sample Sample_FC31_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC32_blood	mus musculus	Smoking-exposure control group (sample Sample_FC32_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC41_blood	mus musculus	Smoking-exposure control group (sample Sample_FC41_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC42_blood	mus musculus	Smoking-exposure control group (sample Sample_FC42_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FC43_blood	mus musculus	Smoking-exposure control group (sample Sample_FC43_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE1P1_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE1P1_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE1P2_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE1P2_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE1P3_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE1P3_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE2P1_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE2P1_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE2P2_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE2P2_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE3P1_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE3P1_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE3P2_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE3P2_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE3P3_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE3P3_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE41_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE41_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE42_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE42_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE43_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE43_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
Sample_FE44_blood	mus musculus	Smoking-exposure experimental group (sample Sample_FE44_blood)	Adult	not collected	United States: Baltimore, MD	female	Blood	Smoking
