sample_id	flowcell
Sample_p16_c121218	HKCNKDSXX
Sample_P17_fc2_022019	HKCG7DSXX
Sample_p18_c121218	HKCNKDSXX
Sample_P18_fc2_022019	HKCNKDSXX
Sample_P19_fc2_022019	HKCNKDSXX
Sample_p2_c121218	HKCNKDSXX
Sample_P2_fc1_022019	HKCNKDSXX
Sample_P2_fc2_022119	HKCG7DSXX
Sample_P2_fe1_021919	HKCG7DSXX
Sample_P2_fe1_022019	HKCNKDSXX
Sample_P20_fc1_022019	HKCNKDSXX
Sample_P20_fc2_022019	HKCG7DSXX
Sample_p21_c121218	HKCNKDSXX
Sample_P21_fc1_022019	HKCNKDSXX
Sample_P21_fc2_022019	HKCNKDSXX
Sample_p23_c121218	HKCNKDSXX
Sample_p3_c121218	HKCG7DSXX
Sample_p3_e120918	HKCG7DSXX
Sample_P3_fc2_022019	HKCG7DSXX
Sample_P3_fc2_022119	HKCG7DSXX
Sample_P3_fe1_022019	HKCG7DSXX
Sample_P3_fe2_022019	HKCG7DSXX
Sample_P3_fe3_021719	HKCNKDSXX
Sample_p4_c121218	HKCG7DSXX
Sample_P4_fc2_022119	HKCG7DSXX
Sample_P4_fe1_022019	HKCNKDSXX
Sample_P5_fc2_022019	HKCG7DSXX
Sample_p6_c121218	HKCG7DSXX
Sample_P6_fe1_021919	HKCNKDSXX
Sample_P6_fe2_022019	HKCG7DSXX
Sample_P6_fe3_021719	HKCG7DSXX
Sample_P7_fc1_022019	HKCNKDSXX
Sample_P7_fe1_022019	HKCNKDSXX
Sample_P8_fc2_022019	HKCG7DSXX
Sample_P8_fe2_022019	HKCG7DSXX
Sample_P8_fe3_021719	HKCG7DSXX
Sample_P8_fe3_021819	HKCG7DSXX
Sample_p9_c121218	HKCNKDSXX
Sample_P9_fc2_022019	HKCG7DSXX
Sample_P9_fe1_021919	HKCG7DSXX
Sample_P9_fe3_021719	HKCNKDSXX
